Section,Metric or Month,Unit or Fallback Rate,Conservative or New Free,Base or Ending Free,Optimistic or New Paid,Status or Ending Paid,Revenue AUD,Vision LLM AUD,Labeling AUD,Backend + Storage AUD,Payment Fees AUD,COGS AUD,Gross Profit AUD,Gross Margin,Fixed Costs AUD,CAC Spend AUD,Net Cash Flow AUD,Cumulative Cash AUD
BASE 24-MONTH MODEL,19,7.1%,8340,39103,1843,12199,178388,133,13,2565,5352,8063,170325,95.5%,42075,90286,37965,-399006
BASE 24-MONTH MODEL,20,6.7%,9174,43117,2032,13681,200072,139,14,2840,6002,8995,191076,95.5%,42075,99553,49448,-349558
BASE 24-MONTH MODEL,21,6.3%,10091,47520,2239,15305,223813,145,15,3141,6714,10015,213798,95.5%,42075,109719,62004,-287554
BASE 24-MONTH MODEL,22,5.8%,11100,52352,2467,17083,249816,151,15,3472,7494,11132,238684,95.5%,42075,120875,75734,-211820
BASE 24-MONTH MODEL,23,5.4%,12210,57657,2717,19031,278304,155,16,3834,8349,12354,265950,95.6%,42075,133125,90750,-121070
BASE 24-MONTH MODEL,24,5.0%,13431,63485,2991,21166,309526,159,16,4233,9286,13693,295833,95.6%,42075,146580,107178,-13892

NOTES,All currency values are AUD unless marked otherwise.,,,,,USD equivalents use the editable FX assumption above
NOTES,The HTML recalculates the model dynamically.,,,,,CSV monthly values are an editable audit trail of the Base case
NOTES,On-device CNN inference cost,AUD/check,0,0,0,Product-spec fact - near-zero marginal cost
NOTES,Weather API,AUD/check,0,0,0,Product-spec fact - Open-Meteo is keyless/free
